marital_status,daytime_attendance,previous_qualification,previous_qualification_grade,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_update,gender,scholarship_holder,age,international,sem_one_grade,sem_two_grade,target
1,1,1,103,1,3,2,2,100.6,1,1,0,1,0,0,22,0,13.928,14.34285714,Graduate
1,1,1,120,1,38,5,5,121.4,0,0,0,0,0,0,20,0,13,13.8,Dropout
1,0,1,133.1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,0,Dropout
1,0,1,154,38,38,4,5,134.1,0,0,0,1,0,0,24,0,11.5,14.33333333,Enrolled
1,1,1,130,19,19,9,9,127.6,1,0,0,1,0,0,18,0,11.66666667,13.2,Graduate
1,1,1,132,37,19,7,7,132.4,1,0,0,1,0,1,22,0,13.51666667,13.77142857,Graduate
1,0,39,130,1,19,9,9,133.4,0,0,0,1,0,1,21,0,11.5,13.28571429,Graduate
1,1,1,139,37,38,9,9,126.1,0,0,0,1,0,1,19,0,12.33333333,12.83333333,Graduate
1,1,1,130,19,38,9,7,113.5,0,0,0,1,0,1,24,0,13.66666667,14.16666667,Graduate
1,1,1,139,37,38,6,6,121.3,1,0,0,1,0,1,19,0,11.83333333,11.83333333,Enrolled
1,1,1,127,1,19,7,7,121.8,1,0,0,1,0,1,20,0,14,11,Enrolled
1,1,1,167,37,37,90,90,159.3,0,0,0,1,0,0,19,0,14.71428571,15.8,Graduate
1,0,1,130,38,38,9,9,120,0,0,0,1,0,0,27,0,10.6,11,Dropout
1,1,1,130,1,19,5,5,129.1,1,0,0,1,0,0,18,0,13.04444444,13.595,Graduate
2,1,3,130,1,3,4,3,130,0,0,0,1,0,0,39,0,0,0,Dropout
1,1,40,129,3,3,2,2,155.3,1,0,0,1,0,0,27,0,13,12.9,Dropout
1,1,1,141,38,38,7,10,139.8,1,0,0,1,0,0,18,0,14.935,14.935,Graduate
1,1,1,125,38,37,4,9,115.2,1,0,0,1,0,0,18,0,0,0,Enrolled
1,1,1,125,19,19,9,9,114.9,0,0,0,1,0,0,18,0,13.13333333,12.22142857,Graduate
1,1,39,130,19,1,9,9,131.9,0,0,0,1,0,1,21,0,12,12,Graduate
1,1,1,133,1,37,4,7,126,1,0,0,1,1,1,19,0,0,0,Enrolled
1,1,1,127,1,1,3,4,130.2,1,0,0,1,1,0,19,0,11.4,10,Enrolled
1,1,1,116,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,0,Enrolled
4,1,19,133.1,1,1,5,5,126,1,0,0,1,1,0,29,0,11.9,11,Dropout
1,1,1,139,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,Graduate
1,1,39,130,19,37,9,9,130,1,0,0,1,1,0,23,0,12.57142857,12.42857143,Graduate
1,1,1,125,1,38,7,7,120.1,0,0,1,1,1,0,19,0,11.2,10.75,Dropout
1,1,1,160,19,37,7,10,100,0,0,0,1,1,0,26,0,12,10.8,Enrolled
1,1,1,148,38,37,5,5,134,0,0,0,1,1,0,18,0,0,0,Enrolled
1,1,1,150,37,19,8,4,130.8,0,0,0,1,1,0,24,0,11.975,13.75,Graduate
1,1,1,141,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,Dropout
1,1,1,118,38,37,5,7,111.7,1,0,0,1,1,0,18,0,11.66666667,12,Dropout
1,1,1,142,38,38,9,9,132.9,1,0,0,1,1,0,18,0,12.33333333,12.33333333,Graduate
1,1,1,120,19,19,4,7,115.5,1,0,1,1,1,0,18,0,10.33333333,10.85714286,Dropout
1,1,1,106,19,37,7,7,106,1,0,0,1,1,1,21,0,10.5,11,Dropout
1,1,1,121,1,19,9,8,120.3,1,0,1,1,1,1,19,0,13.66666667,13.33333333,Graduate
1,1,1,150,38,37,9,9,130.8,0,0,0,1,1,1,22,0,14.84285714,15.05555556,Graduate
2,0,1,120,37,37,9,6,117,0,0,0,1,1,0,33,0,12,11.66666667,Graduate
1,1,1,114,19,19,9,9,110.2,1,0,0,1,1,0,20,0,12.2,12.2,Dropout
1,0,2,140,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,0,Dropout
1,1,4,160,3,3,4,2,180.4,0,0,1,1,1,0,24,0,12.16666667,13.3,Dropout
1,1,1,120,19,19,4,4,125.5,0,0,0,1,1,0,18,0,12,11.33333333,Enrolled
2,0,1,130,37,37,9,6,110,1,0,0,1,0,0,33,0,11,11,Graduate
1,1,1,160,37,38,9,7,161,1,0,0,1,0,1,22,0,13.08,13.08,Graduate
1,1,1,120,1,19,4,5,100,0,0,0,1,0,1,25,0,10.5,11.6,Graduate
1,1,1,124,19,38,4,0,117.6,1,0,0,1,1,0,20,0,10.66666667,11.2,Graduate
1,1,1,143,38,37,9,9,128.7,1,0,0,1,1,0,23,0,14,13.8,Enrolled
1,1,1,115,38,19,9,6,112.2,1,0,1,1,1,0,18,0,10,0,Enrolled
1,1,1,133.1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,0,Dropout
1,1,1,133.1,19,1,9,9,105,1,0,0,0,0,0,21,1,14,13.5,Graduate
1,1,1,133.1,1,1,4,4,100,0,0,0,1,0,0,26,1,12,0,Dropout
2,1,10,133.1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,12.66666667,0,Dropout
2,0,1,133.1,37,19,9,9,114,0,0,0,1,0,0,44,0,11.875,12.33333333,Graduate
1,1,1,130,38,3,9,2,137,1,0,0,1,1,0,19,1,14,13.25,Enrolled
1,1,1,135,37,1,5,5,124.9,1,0,0,1,0,0,18,0,13.66666667,13.33333333,Graduate
1,1,1,132,37,37,7,7,120.3,1,0,0,1,0,1,18,0,13.75,14.47777778,Graduate
1,1,1,135,1,2,9,1,134.3,1,0,0,1,0,0,19,0,14.2,13.8,Enrolled
1,1,1,115,3,3,2,2,111.5,1,0,1,0,0,0,19,0,11.96,0,Dropout
1,1,42,130,38,38,9,9,128.8,0,0,0,1,0,0,21,0,12.875,13.4,Dropout
1,1,1,133.1,1,1,9,10,110,1,0,0,1,0,0,20,0,0,0,Graduate
2,0,1,130,37,37,6,5,113.5,1,0,0,1,0,0,36,0,0,0,Dropout
4,1,12,133.1,37,37,9,6,160,0,0,0,1,0,0,43,0,14.63157895,14.23076923,Graduate
1,1,1,123,19,19,9,7,117.4,1,0,0,1,0,0,19,0,0,0,Dropout
1,1,1,130,3,1,2,8,122.2,0,0,1,1,0,0,20,0,13,12.27272727,Graduate
1,1,1,122,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,0,Dropout
1,1,1,113,1,1,4,4,106.7,1,0,0,1,0,0,20,0,14.2,13.25,Dropout
1,1,1,111,3,4,4,3,108.2,1,0,0,1,0,0,20,0,13.26666667,12.3,Dropout
1,1,1,133.1,19,1,9,3,107,1,0,0,1,0,0,20,0,11.66666667,13,Enrolled
1,1,1,142,37,37,6,7,136.1,1,0,0,1,0,0,18,0,13.85714286,15,Graduate
1,1,1,123,1,38,4,7,115.3,1,0,0,1,0,1,18,0,13,11,Enrolled
1,1,1,131,19,19,9,9,139.8,1,0,0,1,0,0,19,0,13.4,12.8,Graduate
1,1,1,158,1,38,4,7,157,1,0,0,1,0,0,18,0,12.66666667,12.57142857,Graduate
1,1,1,122,37,37,9,9,131,1,0,0,1,0,0,18,0,12.51666667,12.51666667,Dropout
1,1,1,130,38,38,9,5,100,0,0,0,1,0,0,20,0,11.61666667,13,Enrolled
1,1,1,154,19,37,9,7,140.4,1,0,0,1,0,1,20,0,10,10.75,Enrolled
1,1,1,120,19,19,3,3,113.4,0,0,0,1,0,0,20,0,10.33333333,10.66666667,Enrolled
1,1,1,140,37,38,9,7,137,0,0,0,1,0,0,18,0,13.14285714,11.4,Graduate
1,1,1,127,2,19,4,5,121.8,0,0,0,1,0,0,18,0,12.6,14,Graduate
1,1,1,133.1,1,1,4,5,131,1,0,0,1,0,0,21,0,11,11,Dropout
1,1,1,120,19,19,9,7,118.6,1,0,0,1,0,0,19,0,10.8,11.25,Graduate
1,1,1,137,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,Dropout
1,1,1,131,38,38,9,9,127.9,0,0,0,1,0,1,19,0,12.8,14.2,Graduate
1,1,1,130,19,38,4,7,121.3,1,0,0,1,0,0,19,0,14.16666667,12.2,Graduate
1,1,1,122,1,1,4,5,117.1,1,0,0,1,0,0,19,0,12.1,0,Dropout
1,1,39,160,37,37,9,9,160,1,0,0,1,0,0,20,0,14.16666667,13.77777778,Graduate
1,1,1,146,19,38,9,3,145.3,1,0,0,1,0,1,18,0,12.8,13.4,Enrolled
1,1,1,131,1,39,5,3,122.6,1,0,0,1,0,0,18,0,13,13.66666667,Graduate
1,1,1,132,1,37,8,9,128,1,0,0,1,0,0,19,0,13.46714286,15.01111111,Graduate
1,1,1,138,19,19,5,8,124.9,1,0,0,1,0,1,18,0,13.2375,13.74285714,Dropout
1,1,1,130,37,37,9,9,123.7,1,0,0,1,0,0,18,0,12.33333333,13,Graduate
1,1,1,126,1,19,4,8,120.1,1,0,0,1,0,0,19,0,12.4,14.6,Graduate
1,1,1,148,1,19,3,3,131.7,1,0,0,1,0,0,19,0,14,0,Dropout
1,1,1,130,38,37,9,7,133.2,0,0,0,1,0,0,20,0,11.66666667,11.71428571,Graduate
1,1,1,117,1,38,3,9,109.3,0,0,1,0,0,1,19,0,12,12.5,Dropout
1,1,1,120,19,19,5,5,113,1,0,0,1,0,0,20,0,12.2,11.5,Graduate
1,1,1,153,1,1,141,175,157.9,0,0,1,1,0,1,18,0,14.83333333,14.83333333,Graduate
1,1,1,117,19,1,4,7,112.1,0,0,0,1,0,1,20,0,13.188,12.89285714,Enrolled
1,1,1,178,19,1,4,8,174.7,0,0,0,1,0,0,18,0,17.125,17.5875,Graduate
1,1,1,129,37,37,9,9,128.8,1,0,0,1,0,0,19,0,12.66666667,12.66666667,Graduate
1,1,1,116,19,1,4,4,110.1,1,0,0,1,0,1,19,0,12.66666667,12,Graduate
1,1,1,99,3,1,3,3,99.7,1,0,1,0,0,0,22,0,0,0,Enrolled
1,1,1,135,1,12,9,10,121,1,0,0,1,0,1,19,0,11.33333333,11.5,Graduate
1,1,1,141,19,19,9,7,131.7,1,0,0,1,0,1,19,0,13.605,12.33125,Graduate
1,1,1,132,37,38,5,6,119.1,1,0,0,1,0,1,19,0,12,10.8,Graduate
1,1,1,132,12,19,9,9,124.7,1,0,0,1,0,0,19,0,0,0,Dropout
1,1,1,113,1,37,9,10,117.2,1,0,0,1,0,0,20,0,11.2,11.66666667,Dropout
1,1,1,134,3,19,2,10,128.8,0,0,0,1,0,0,18,0,13.375,14.16666667,Graduate
1,1,1,136,1,19,9,9,131.5,0,0,0,1,0,1,20,0,13.86333333,14.17857143,Graduate
1,1,1,136,3,37,2,8,121.7,1,0,0,1,0,0,18,0,0,0,Enrolled
1,1,1,129,1,38,4,7,123.4,0,0,0,1,0,0,19,0,12.4,13.4,Graduate
1,1,1,138,38,38,7,6,124.7,1,0,0,1,0,0,18,0,12.33333333,10.83333333,Enrolled
1,1,1,137,37,37,9,9,132.8,1,0,0,1,0,0,18,0,13.33333333,11.8,Graduate
1,1,1,115,3,37,2,5,108.7,1,0,0,1,0,0,21,0,12.66666667,10,Dropout
1,1,1,129,38,37,6,6,138.1,0,0,0,1,0,0,19,0,12,11.5,Dropout
1,1,1,131,38,38,9,9,126.5,0,0,0,1,0,1,18,0,10.6,11.8,Graduate
1,1,1,133,1,37,7,9,127.4,1,0,0,1,0,1,18,0,12.25,11.85714286,Graduate
1,1,1,125,19,1,9,10,123.6,1,0,0,1,0,0,20,0,11,11.83333333,Graduate
1,0,1,120,1,19,6,8,122,0,0,0,1,0,1,24,0,11,12.6,Graduate
1,1,1,128,19,1,4,1,118.2,0,0,0,1,0,0,19,0,13.16666667,13,Dropout
1,1,1,127,19,37,9,7,123.9,1,0,0,1,0,1,18,0,12.85555556,12.76111111,Graduate
1,1,1,134,19,19,9,9,125.8,1,0,0,1,0,0,18,0,14.91875,15.355,Graduate
1,1,1,132,12,12,4,4,123.3,1,0,0,1,0,0,21,0,11.5,11,Dropout
1,1,1,124,1,19,5,4,124.4,0,0,0,1,0,0,19,0,14.2,14.2,Graduate
1,1,1,133.1,19,37,7,7,126,0,0,0,1,0,1,19,0,12.5,13,Graduate
3,1,1,170,1,37,6,6,170,0,0,1,1,0,0,47,0,0,0,Enrolled
1,1,1,125,19,19,7,8,121.5,0,0,0,1,0,0,19,0,11.66666667,11,Graduate
1,1,3,130,2,2,1,1,130,0,0,0,1,0,0,29,0,14.25714286,14.25714286,Graduate
1,1,1,125,19,19,4,8,117,1,0,0,1,0,0,21,0,12,11.33333333,Dropout
1,1,1,130,37,19,9,7,130,1,0,0,1,0,0,28,0,11.25,10.5,Enrolled
1,1,1,133.1,37,37,3,10,108,0,0,0,1,0,0,20,0,12.45714286,13.5625,Graduate
1,1,1,131,2,38,4,5,132.3,1,0,0,1,0,0,19,0,11.68333333,11.68333333,Graduate
1,0,1,150,19,2,4,6,148,0,0,0,1,0,0,26,0,11.66666667,12,Graduate
1,1,1,125,37,37,9,8,122.6,1,0,1,0,0,0,20,0,11.75,13.16666667,Dropout
1,1,1,131,37,37,9,9,123,1,0,0,1,0,1,18,0,11.66666667,13.5,Enrolled
1,1,1,130,37,19,9,5,102.5,0,0,0,1,0,0,27,0,13.2,12,Graduate
1,1,1,123,34,34,90,90,113.3,1,0,0,1,0,0,20,0,11.95,11.95,Dropout
1,1,1,141,37,19,9,5,133,1,0,0,1,0,0,18,0,12.4,10.4,Dropout
1,1,3,140,1,1,9,5,140,0,0,0,1,0,0,33,0,14.35,14.58333333,Dropout
1,1,1,140,3,1,3,3,128.3,1,0,0,1,0,0,35,0,12.61904762,12.78947368,Graduate
1,0,39,140,37,19,9,8,140,0,0,0,1,0,1,26,0,12.66666667,13.16666667,Enrolled
1,1,19,133.1,19,19,3,4,104,0,0,1,0,0,0,27,0,12,0,Dropout
1,1,1,131,1,37,5,5,122.3,1,0,0,0,0,0,19,0,12.16666667,0,Dropout
1,1,1,143,1,19,4,6,135,0,0,0,1,0,0,20,0,0,0,Dropout
1,1,1,132,3,3,5,7,119.1,1,0,1,0,0,0,20,0,10,10.57142857,Dropout
1,1,1,143,1,37,5,9,126.6,0,0,1,0,0,0,21,0,11.5,10,Enrolled
1,1,1,141,38,1,9,4,129,1,0,0,1,0,1,18,0,13.05,13.05,Graduate
1,1,1,133.1,1,19,9,9,162.3,1,0,0,1,0,0,24,0,11,0,Dropout
1,1,1,148,1,3,4,1,163.4,1,0,0,1,0,0,20,0,11.5,12,Graduate
1,1,1,125,19,38,9,8,121.5,0,0,0,1,0,1,21,0,12,12.5,Graduate
1,0,1,120,1,37,7,3,122.8,0,0,0,1,0,0,23,0,10,10,Enrolled
1,1,1,140,12,3,4,3,118,1,0,0,1,0,0,24,0,0,0,Dropout
1,1,1,139,1,1,4,10,134,0,0,0,1,0,0,21,0,0,0,Dropout
1,1,1,142,38,38,9,8,129.8,1,0,0,1,0,0,18,0,12.24285714,12.24285714,Graduate
1,0,40,130,19,1,3,4,152,1,0,0,1,0,0,27,0,0,0,Dropout
1,1,1,126,37,37,5,5,122.8,1,0,0,1,0,0,18,0,12.93375,12.93375,Graduate
1,1,3,150,3,2,2,2,150,0,0,0,1,0,0,35,0,0,0,Dropout
1,1,1,130,19,19,3,8,131.8,0,0,0,1,0,0,18,0,12.57142857,14.42857143,Graduate
1,1,1,120,1,3,175,121,105.9,0,0,0,1,0,0,35,0,11.81666667,11.33333333,Enrolled
1,1,1,138,1,1,4,7,132.1,1,0,0,1,0,0,19,0,13.75,14.33333333,Graduate
1,1,1,127,19,19,4,0,127.4,1,0,0,1,0,0,20,0,11.16666667,11.33333333,Graduate
1,1,1,140,19,19,7,7,129.5,1,0,0,1,0,0,18,0,12.32428571,12.32428571,Graduate
1,1,39,130,38,38,5,10,126.7,0,0,1,1,0,0,21,0,12.16666667,11.71428571,Graduate
1,1,1,128,19,37,9,8,116.5,0,0,0,1,0,1,18,0,11.14285714,11.25,Graduate
1,1,1,132,34,34,0,0,119.1,1,0,0,1,0,0,18,0,11,10.75,Graduate
1,1,1,149,19,38,9,9,126.5,1,0,0,1,0,0,18,0,12.91428571,12.91428571,Graduate
1,1,1,155,3,19,1,4,149.8,1,0,0,1,0,1,18,0,13.83333333,14.16666667,Graduate
1,1,1,120,19,1,8,7,115.1,1,0,0,1,0,0,19,0,13.85714286,13.4,Graduate
1,1,19,133.1,3,19,2,3,124.5,0,0,0,1,0,1,36,0,13.71428571,12.8,Dropout
1,1,1,131,38,1,7,4,128.3,1,0,0,1,0,1,18,0,12.64285714,12.64285714,Graduate
1,1,1,149,37,37,9,9,136,0,0,0,1,0,1,18,0,12.91666667,12.91666667,Graduate
1,1,1,140,1,3,9,2,140,1,0,0,1,0,1,20,0,15.625,15.85714286,Graduate
1,0,1,133.1,37,37,9,9,126.3,0,0,0,1,0,1,26,0,0,0,Dropout
1,1,1,122,1,1,4,5,126.9,0,0,0,1,0,0,21,0,11.71428571,12,Graduate
1,1,40,130,1,1,4,5,145,0,0,0,1,0,0,25,0,12.125,13.3125,Enrolled
1,1,1,121,19,3,5,5,115.8,1,0,0,1,0,1,19,0,11.6,11.6,Graduate
1,0,1,120,19,37,8,7,100,1,0,0,1,0,0,24,0,10,0,Dropout
1,0,1,133.1,1,19,5,4,102.5,0,0,0,1,0,1,27,0,10,0,Dropout
1,1,1,121,19,37,1,3,131.5,0,0,0,1,0,0,21,0,0,13.5,Dropout
1,1,1,133,38,38,7,7,147,0,0,0,1,0,1,18,0,13,12.33333333,Graduate
2,1,1,134,37,37,5,7,122.5,0,1,0,1,0,1,19,0,13.33333333,14.5,Graduate
1,1,1,115,1,1,3,3,117.5,1,0,0,1,0,0,18,0,11.25,12.5,Dropout
1,1,1,127,19,1,5,9,150,0,0,0,1,0,1,19,0,13.85,12.19285714,Graduate
1,1,1,135,1,38,4,5,127.5,1,0,0,1,0,1,19,0,13.74166667,14.9125,Graduate
2,0,43,140,40,5,3,3,140,0,0,0,1,0,0,33,0,15.33333333,15.8,Graduate
2,1,3,130,1,4,3,10,130,0,0,0,1,0,0,45,0,11,13.8,Graduate
1,1,1,135,1,1,9,9,133.3,0,0,0,1,0,1,20,0,12,12.85714286,Graduate
1,1,1,140,34,34,0,0,97,1,0,0,1,0,0,28,0,0,0,Dropout
1,1,1,120,1,1,5,8,112,1,0,0,1,0,1,19,0,11.57142857,11.57142857,Graduate
1,1,1,140,1,37,4,5,123.6,1,0,0,1,0,0,18,0,12.85714286,12.66666667,Graduate
1,1,3,133.1,19,19,4,6,130.5,0,0,0,1,0,0,38,0,0,0,Dropout
1,1,1,135,1,3,4,3,133.3,0,0,0,1,0,0,19,0,13,13.2,Graduate
1,1,1,123,1,37,9,9,132.1,0,0,0,1,0,1,21,0,11,12,Graduate
1,1,1,133.1,37,1,9,10,100,0,0,0,1,0,0,21,0,12,15,Dropout
1,1,1,154,38,37,9,9,140.4,0,0,0,1,0,1,22,0,12.6,13,Graduate
1,1,1,148,19,19,5,7,141.7,0,0,0,1,0,1,18,0,13.4,13.16666667,Graduate
1,1,1,133,37,37,3,9,119.7,0,1,0,1,0,1,18,0,11.33333333,11.57142857,Graduate
1,1,1,126,19,1,9,9,122.5,1,0,0,0,0,0,25,0,13.5,14.25,Dropout
1,1,19,133.1,19,19,9,7,140,0,0,1,0,0,0,24,0,11.75,10.33333333,Dropout
1,1,1,125,3,1,4,4,119.4,1,0,0,1,0,0,19,0,12.47142857,11.4625,Enrolled
1,1,1,145,3,3,3,3,155,1,0,0,1,0,0,24,0,12.90909091,13.55555556,Enrolled
1,1,1,118,37,19,5,5,119.1,1,0,0,1,0,1,20,0,11.6,13.6,Graduate
1,1,1,120,37,1,9,1,122.7,0,0,0,0,0,0,25,0,0,0,Dropout
1,1,1,127,38,19,9,10,117.9,0,0,0,1,0,1,20,0,12.9,12.36363636,Graduate
1,1,3,130,19,38,5,3,130,0,0,0,1,0,0,23,0,13.22,13.22,Graduate
1,1,1,129,19,37,7,6,120,1,0,0,1,0,1,19,0,13.15142857,13.15142857,Graduate
1,1,39,130,37,37,9,10,130,0,0,1,0,0,0,29,0,12.75,11.33333333,Dropout
1,1,1,121,19,37,4,7,116.8,1,0,0,1,0,0,21,0,11.33333333,12.25,Graduate
1,1,1,136,19,1,9,8,123.4,1,0,0,1,0,1,18,0,13.25,14.14285714,Graduate
1,1,1,125,19,38,9,9,125.4,1,0,0,1,0,0,19,0,12.4,12.4,Enrolled
1,1,1,131,38,37,7,7,127.2,1,0,0,1,0,1,18,0,15,12.83333333,Dropout
1,1,1,122,9,19,90,6,103.4,0,0,0,1,0,0,19,0,14.4,13,Graduate
1,1,1,127,37,37,9,8,123.2,1,0,0,1,0,0,18,0,11,0,Enrolled
1,1,1,136,1,1,4,4,124.1,0,0,0,1,0,0,18,0,12.4,10.8,Graduate
2,1,19,133.1,38,37,7,7,99.5,1,0,1,0,0,1,37,0,16,0,Dropout
1,0,40,127,37,37,6,6,124.9,0,0,0,1,0,0,29,0,13.57142857,12.33333333,Graduate
1,1,1,116,37,37,9,9,110.8,0,0,0,1,0,0,18,0,11.83333333,12.5,Enrolled
1,1,1,121,1,1,9,8,118.9,1,0,0,1,0,1,19,0,11.66666667,12.66666667,Graduate
1,1,1,124,1,1,3,1,118.8,1,0,1,0,0,0,22,0,11.83333333,13,Dropout
1,1,1,131,37,38,9,7,137,0,0,0,1,0,1,20,0,11.16666667,10.6,Graduate
1,0,1,100,37,37,99,99,100,0,0,0,1,0,0,34,0,0,0,Dropout
1,1,1,130,37,38,9,9,120,0,0,1,0,0,0,30,0,11.75,12.16666667,Dropout
1,1,1,135,1,1,4,4,122.8,0,0,0,1,0,0,18,0,14,14,Graduate
1,1,1,130,38,19,9,5,121.6,0,0,0,1,0,0,18,0,12.83333333,12,Graduate
1,1,1,146,3,1,1,3,149.2,1,0,0,1,0,0,18,0,12.25,11.66666667,Graduate
1,1,1,146,4,1,2,3,140,1,0,0,1,0,0,18,0,14.82857143,14.82857143,Graduate
1,1,1,154,38,38,9,9,133.4,1,0,0,1,0,1,19,0,11.4,12.8,Graduate
1,1,1,137,37,37,9,9,126.2,1,0,0,1,0,1,19,0,13,12.5,Graduate
1,1,1,151,1,1,9,9,127.8,0,0,0,1,0,1,18,0,13.67142857,13.67142857,Graduate
1,1,39,150,37,38,4,8,150,0,0,0,1,0,1,21,0,12.66666667,12.8,Graduate
1,1,1,121,1,19,9,9,113.7,1,0,0,0,0,0,20,0,10,13,Dropout
1,1,1,122,12,19,4,8,117.8,1,0,0,1,0,0,20,0,13.5,12.33333333,Graduate
1,1,1,143,5,1,2,5,136.7,0,0,0,1,0,0,19,0,12.67,13.55,Graduate
1,1,1,152,1,38,4,5,144.7,0,0,0,1,0,0,20,0,14.5,15.42857143,Graduate
1,1,1,145,12,1,4,10,139.8,1,0,0,1,0,0,18,0,13.68571429,15.3875,Graduate
1,1,1,120,37,38,3,3,113.7,0,0,0,1,0,0,20,0,11,10.66666667,Dropout
2,1,3,140,5,4,2,0,140,0,0,1,0,0,0,29,0,11.55555556,13.2,Dropout
1,1,1,143,19,19,5,6,142.3,0,0,0,1,0,1,18,0,13.79714286,13.775,Enrolled
1,1,1,129,19,19,5,5,119.6,1,0,0,1,0,1,20,0,14.00375,13.81285714,Graduate
